/home/oliver/anaconda3/envs/pytorch/bin/python /home/oliver/PycharmProjects/StereoNet/pretrain-sceneflow/sceneflow-pretrain.py
-- model using stereonet --
-- no checkpoint --
Number of model parameters: 424610
This is 0-th epoch
learning rate : 0.001000
/home/oliver/anaconda3/envs/pytorch/lib/python3.7/site-packages/torch/nn/_reduction.py:49: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
Iter 0 training loss = 40.723 , time = 0.57
Iter 20 training loss = 22.575 , time = 0.44
Iter 40 training loss = 24.213 , time = 0.44
Iter 60 training loss = 27.738 , time = 0.45
Iter 80 training loss = 19.186 , time = 0.45
Iter 100 training loss = 20.878 , time = 0.46
Iter 120 training loss = 17.327 , time = 0.45
Iter 140 training loss = 20.249 , time = 0.44
Iter 160 training loss = 14.997 , time = 0.45
Iter 180 training loss = 16.166 , time = 0.44
Iter 200 training loss = 14.976 , time = 0.44
Iter 220 training loss = 16.122 , time = 0.45
Iter 240 training loss = 16.245 , time = 0.44
Iter 260 training loss = 18.429 , time = 0.45
Iter 280 training loss = 19.992 , time = 0.44
Iter 300 training loss = 16.808 , time = 0.44
Iter 320 training loss = 15.051 , time = 0.44
Iter 340 training loss = 12.863 , time = 0.44
Iter 360 training loss = 12.802 , time = 0.44
Iter 380 training loss = 13.940 , time = 0.44
Iter 400 training loss = 15.387 , time = 0.44
Iter 420 training loss = 16.068 , time = 0.44
Iter 440 training loss = 15.974 , time = 0.44
Iter 460 training loss = 13.923 , time = 0.45
Iter 480 training loss = 19.818 , time = 0.48
Iter 500 training loss = 20.289 , time = 0.51
Iter 520 training loss = 15.930 , time = 0.49
Iter 540 training loss = 12.702 , time = 0.50
Iter 560 training loss = 11.347 , time = 0.52
Iter 580 training loss = 10.498 , time = 0.51
Iter 600 training loss = 11.826 , time = 0.53
Iter 620 training loss = 11.373 , time = 0.52
Iter 640 training loss = 13.902 , time = 0.53
Iter 660 training loss = 14.084 , time = 0.48
Iter 680 training loss = 16.166 , time = 0.47
Iter 700 training loss = 16.641 , time = 0.49
Iter 720 training loss = 13.683 , time = 0.51
Iter 740 training loss = 15.128 , time = 0.50
Iter 760 training loss = 11.437 , time = 0.48
Iter 780 training loss = 12.397 , time = 0.50
Iter 800 training loss = 13.310 , time = 0.47
Iter 820 training loss = 15.220 , time = 0.49
Iter 840 training loss = 16.436 , time = 0.49
Iter 860 training loss = 12.145 , time = 0.45
Iter 880 training loss = 13.102 , time = 0.47
Iter 900 training loss = 11.389 , time = 0.47
Iter 920 training loss = 13.871 , time = 0.50
Iter 940 training loss = 10.962 , time = 0.46
Iter 960 training loss = 16.649 , time = 0.47
Iter 980 training loss = 13.276 , time = 0.47
Iter 1000 training loss = 10.009 , time = 0.47
Iter 1020 training loss = 11.951 , time = 0.47
Iter 1040 training loss = 10.607 , time = 0.47
Iter 1060 training loss = 9.617 , time = 0.52
Iter 1080 training loss = 13.062 , time = 0.50
Iter 1100 training loss = 9.352 , time = 0.47
Iter 1120 training loss = 11.818 , time = 0.47
Iter 1140 training loss = 15.718 , time = 0.49
Iter 1160 training loss = 13.568 , time = 0.50
Iter 1180 training loss = 7.950 , time = 0.51
Iter 1200 training loss = 11.373 , time = 0.48
Iter 1220 training loss = 11.631 , time = 0.48
Iter 1240 training loss = 13.906 , time = 0.52
Iter 1260 training loss = 14.935 , time = 0.48
Iter 1280 training loss = 10.597 , time = 1.88
Iter 1300 training loss = 14.826 , time = 0.50
Iter 1320 training loss = 9.293 , time = 0.47
Iter 1340 training loss = 10.589 , time = 0.49
Iter 1360 training loss = 17.111 , time = 0.50
Iter 1380 training loss = 13.630 , time = 0.49
Iter 1400 training loss = 10.358 , time = 0.47
Iter 1420 training loss = 11.669 , time = 0.47
Iter 1440 training loss = 10.542 , time = 0.48
Iter 1460 training loss = 11.310 , time = 0.49
Iter 1480 training loss = 9.412 , time = 0.52
Iter 1500 training loss = 12.297 , time = 0.51
Iter 1520 training loss = 11.018 , time = 0.47
Iter 1540 training loss = 10.652 , time = 0.53
Iter 1560 training loss = 10.197 , time = 0.51
Iter 1580 training loss = 8.013 , time = 0.50
Iter 1600 training loss = 11.053 , time = 0.50
Iter 1620 training loss = 10.621 , time = 0.49
Iter 1640 training loss = 9.185 , time = 0.47
Iter 1660 training loss = 7.897 , time = 0.47
Iter 1680 training loss = 8.493 , time = 0.50
Iter 1700 training loss = 11.240 , time = 0.50
Iter 1720 training loss = 10.135 , time = 0.48
Iter 1740 training loss = 8.117 , time = 0.53
Iter 1760 training loss = 11.127 , time = 0.56
Iter 1780 training loss = 11.860 , time = 0.46
Iter 1800 training loss = 10.429 , time = 0.48
Iter 1820 training loss = 11.557 , time = 0.50
Iter 1840 training loss = 11.750 , time = 0.51
Iter 1860 training loss = 12.530 , time = 0.49
Iter 1880 training loss = 12.140 , time = 0.50
Iter 1900 training loss = 10.708 , time = 0.50
Iter 1920 training loss = 8.395 , time = 0.48
Iter 1940 training loss = 13.958 , time = 0.51
Iter 1960 training loss = 8.281 , time = 0.47
Iter 1980 training loss = 14.055 , time = 0.48
Iter 2000 training loss = 10.918 , time = 0.48
Iter 2020 training loss = 10.864 , time = 0.47
Iter 2040 training loss = 16.141 , time = 0.47
Iter 2060 training loss = 8.048 , time = 0.48
Iter 2080 training loss = 11.197 , time = 0.46
Iter 2100 training loss = 17.982 , time = 0.48
Iter 2120 training loss = 9.938 , time = 0.47
Iter 2140 training loss = 12.103 , time = 0.50
Iter 2160 training loss = 8.429 , time = 0.50
Iter 2180 training loss = 10.367 , time = 0.49
Iter 2200 training loss = 8.474 , time = 0.44
epoch 0 total training loss = 13.489
This is 1-th epoch
learning rate : 0.000900
Iter 0 training loss = 13.453 , time = 0.61
Iter 20 training loss = 10.237 , time = 0.48
Iter 40 training loss = 8.104 , time = 0.51
Iter 60 training loss = 11.239 , time = 0.48
Iter 80 training loss = 10.845 , time = 0.47
Iter 100 training loss = 9.943 , time = 0.46
Iter 120 training loss = 16.642 , time = 0.49
Iter 140 training loss = 10.321 , time = 0.50
Iter 160 training loss = 10.617 , time = 0.47
Iter 180 training loss = 10.026 , time = 0.47
Iter 200 training loss = 11.163 , time = 0.47
Iter 220 training loss = 10.810 , time = 0.47
Iter 240 training loss = 8.532 , time = 0.48
